iter	PRAUC:type=Classic	Logloss
339	0.6527739836	0.6464936784
340	0.6528356848	0.6464426705
341	0.6529404362	0.6463975569
342	0.6530057495	0.6463544465
343	0.6530884799	0.646312219
344	0.6532072759	0.6462715777
345	0.6532603956	0.6462102138
346	0.6533428566	0.6461716453
347	0.6533745404	0.6461265723
348	0.6533905406	0.6460820143
349	0.6534410964	0.6460458666
350	0.6534951944	0.6460126845
351	0.6535168398	0.6460071272
352	0.6535819542	0.6459514774
353	0.6536147036	0.645916471
354	0.6536951091	0.6458730936
355	0.653767579	0.6458338055
356	0.6538732386	0.6457895983
357	0.6539417276	0.6457555771
358	0.6540173316	0.6457064677
359	0.6540559916	0.6456499464
360	0.654081114	0.6455990613
361	0.6541539217	0.6455551084
362	0.6542148171	0.6455106543
363	0.6542572992	0.6454874478
364	0.6543373456	0.6454477872
365	0.6544346962	0.6454024238
366	0.6544909216	0.6453684947
367	0.6546402669	0.6453259637
368	0.6546499833	0.6453230371
369	0.6547244658	0.6452659249
370	0.654851741	0.6452071174
371	0.6549053283	0.6451622158
372	0.6549479086	0.6451293373
373	0.654997122	0.6450894417
374	0.6550466512	0.6450508086
375	0.6550625363	0.645014735
376	0.6551197737	0.6449773485
377	0.65521056	0.6449356006
378	0.6552793886	0.644900793
379	0.6553339186	0.6448675446
380	0.6553386592	0.6448626343
381	0.6553991564	0.6448244555
382	0.6554563539	0.6447789779
383	0.6554777814	0.6447328733
384	0.6556113092	0.6446655295
385	0.6556574098	0.6446021527
386	0.6557080863	0.6445819531
387	0.6557287856	0.6445717021
388	0.6557801308	0.6445336283
389	0.6558812122	0.6444843845
390	0.6559188253	0.644443734
391	0.6559518575	0.6443820731
392	0.655995658	0.6443354394
393	0.6560089181	0.6442771807
394	0.6560912371	0.6442060183
395	0.6562043851	0.6441624736
396	0.6562745146	0.6441127179
397	0.6563363088	0.6440764859
398	0.656367804	0.6440126349
399	0.6564054127	0.6439943084
400	0.6564786244	0.6439438279
401	0.6565836216	0.6439125764
402	0.6566671438	0.6438620551
403	0.6567082656	0.6438398573
404	0.6567756743	0.643808889
405	0.6568326332	0.6437712515
406	0.6568859077	0.6437065644
407	0.6570435541	0.6436633756
408	0.6571790135	0.6436194286
409	0.65726646	0.6435657103
410	0.6573698925	0.6435326448
411	0.657423493	0.64350568
412	0.657509711	0.6434576909
413	0.6575369004	0.6434190133
414	0.6576730414	0.6433822979
415	0.657760446	0.6433409733
416	0.6578456751	0.6433079724
417	0.6579053554	0.643267309
418	0.6579456986	0.6432202023
419	0.6580306339	0.6431852336
420	0.6581025772	0.6431493496
421	0.6581565996	0.6431238567
422	0.6582214241	0.6430912625
423	0.6582089985	0.6430824092
424	0.6582498595	0.6430421727
425	0.6582752886	0.6429993371
426	0.658414714	0.6429651472
427	0.6584692344	0.6429273135
428	0.6585825259	0.6428808671
429	0.6586296246	0.6428503407
430	0.6586731619	0.6427890932
431	0.658732508	0.6427406017
432	0.6588137469	0.642704722
433	0.6588816694	0.6426495138
434	0.6589727252	0.6426066891
435	0.6590160548	0.6425724756
436	0.6591064796	0.6425345666
437	0.6591724791	0.6425093422
438	0.6591893696	0.6424802216
439	0.659232717	0.6424503156
440	0.6592777761	0.6424229213
441	0.6593212285	0.6423943648
442	0.6593290226	0.6423767147
443	0.6593898222	0.6423357562
444	0.6594361929	0.6422965763
445	0.659628561	0.6422519954
446	0.659714861	0.642214147
447	0.6597818698	0.6421771907
448	0.6598163205	0.6421499508
449	0.6599050067	0.6421142583
450	0.659961265	0.6420801608
451	0.6600161912	0.642040584
452	0.660059205	0.6420064503
453	0.6601260607	0.6419740073
454	0.6601466771	0.6419474994
455	0.6601698672	0.6419396298
456	0.6602472564	0.6418860306
457	0.6603251127	0.6418435284
458	0.6603895258	0.6417990124
459	0.6604933685	0.6417543112
460	0.6605492339	0.6416825267
461	0.6606170848	0.6416512296
462	0.6606408849	0.6416175482
463	0.6607345951	0.641545584
464	0.6608224246	0.6415180638
465	0.6608735717	0.6414725429
466	0.6608618928	0.6414252572
467	0.6609183296	0.6413932058
468	0.6609639423	0.6413651895
469	0.6610770964	0.6413179366
470	0.661103384	0.6412801571
471	0.6612122614	0.641236761
472	0.6612951417	0.6411946266
473	0.6613662356	0.6411549225
474	0.66138624	0.6411100483
475	0.6614147699	0.6410702674
476	0.6614303818	0.641036358
477	0.6615139016	0.6409962583
478	0.6616006354	0.640959203
479	0.6616088864	0.6409316876
480	0.6616687796	0.6408989831
481	0.6618517383	0.6408488298
482	0.6619258755	0.64081145
483	0.6619643967	0.6407968954
484	0.6620476622	0.6407471974
485	0.6620618137	0.6407437919
486	0.662146516	0.6407088332
487	0.6621881078	0.6406771148
488	0.6623012251	0.6406344414
489	0.6623561667	0.6405997488
490	0.6624530882	0.640553439
491	0.6624986826	0.6405211346
492	0.6625288875	0.6404922076
493	0.6625987346	0.6404429585
494	0.6627184183	0.640386311
495	0.6627776769	0.6403446057
496	0.6628294857	0.6403026615
497	0.662928999	0.6402631
498	0.6629752552	0.6402430606
499	0.6631040462	0.6401860951
500	0.6631702427	0.6401496965
501	0.6632248615	0.6401115744
502	0.6632909299	0.6400702322
503	0.6633163641	0.6400175181
504	0.6633732531	0.6399664288
505	0.6634527447	0.6399322512
506	0.6635017193	0.639900522
507	0.6635303639	0.6398468419
508	0.6636017353	0.6398057613
509	0.6636588065	0.6397696468
510	0.6637426495	0.6397308103
511	0.6638146632	0.6396869481
512	0.6638843353	0.6396482463
513	0.6639184858	0.639619195
514	0.6639381837	0.6395792893
515	0.6639883153	0.6395239379
516	0.6640322924	0.6394946402
517	0.6640955276	0.639464758
518	0.6642090107	0.6394219281
519	0.6643137681	0.6393794478
520	0.6644121352	0.6393361222
521	0.66443473	0.6393114211
522	0.6645164267	0.639269153
523	0.664560073	0.6392402801
524	0.6646748187	0.6392101386
525	0.664750916	0.6391768617
526	0.6648112116	0.6391466145
527	0.6648069555	0.6391121909
528	0.6648708798	0.6390720238
529	0.6649349789	0.6390204908
530	0.6650328643	0.6389789446
531	0.6650879218	0.6389450985
532	0.6651534435	0.6388954816
533	0.6651857038	0.6388462796
534	0.6652281993	0.6388147023
535	0.6652736847	0.6387750381
536	0.6653508406	0.6386997647
537	0.6653855408	0.6386628202
538	0.6654115229	0.6386383415
539	0.6654814559	0.6386050793
540	0.6655715057	0.6385647617
541	0.6656281227	0.6385282421
542	0.6657532014	0.6384927097
543	0.6658241394	0.6384508042
544	0.6659246232	0.6383917559
545	0.6660104418	0.6383600646
546	0.666050933	0.6383233543
547	0.6660567428	0.6382909172
548	0.6661278749	0.6382537918
549	0.6661919474	0.6382127751
550	0.6662425759	0.6381774524
551	0.6662601917	0.638160673
552	0.6662763737	0.6381463292
553	0.6663424932	0.63811394
554	0.666416529	0.6380603772
555	0.666486162	0.6380202212
556	0.6665595292	0.6379857636
557	0.6666010247	0.6379489701
558	0.6666234495	0.637913339
559	0.6666912283	0.6378743958
560	0.6667509592	0.6378386166
561	0.6668004653	0.637811808
562	0.6668535199	0.637774639
563	0.6669204758	0.6377454848
564	0.6669493929	0.6377009545
565	0.6670174469	0.6376548836
566	0.6670568621	0.6376135575
567	0.6671022103	0.6375765821
568	0.6671503791	0.637543217
569	0.6671934747	0.6375122459
570	0.6672472475	0.6374818602
571	0.6672980368	0.6374509852
572	0.6673152101	0.6373981418
573	0.667353646	0.6373635466
574	0.6674155213	0.6373269466
575	0.6674636023	0.6373071613
576	0.6675269173	0.6372650903
577	0.6675612954	0.6372257404
578	0.6676228348	0.6371884743
579	0.667717013	0.6371427696
580	0.6677904902	0.637103409
581	0.6679181371	0.6370599923
582	0.6679975941	0.6370173017
583	0.6680786408	0.6369738825
584	0.6681391668	0.6369539731
585	0.6681901936	0.6369236326
586	0.6683417465	0.6368766794
587	0.6684299524	0.6368160636
588	0.6685013607	0.6367825242
589	0.6685486909	0.6367456544
590	0.6685934928	0.6367046182
591	0.668628113	0.6366883651
592	0.6686747965	0.6366667485
593	0.6687076656	0.6366485883
594	0.6687639234	0.6366162266
595	0.6688557592	0.6365705072
596	0.6689071327	0.6365366364
597	0.6689235816	0.6365073289
598	0.6690089772	0.6364693615
599	0.6690332669	0.6364332426
600	0.6690463047	0.6364014965
601	0.6691094205	0.6363630232
602	0.6691137415	0.6363192445
603	0.6691563791	0.6362761733
604	0.6692023589	0.6362530643
605	0.6692726159	0.636205573
606	0.6693278322	0.6361799
607	0.6693586406	0.6361480924
608	0.6694462532	0.6361145688
609	0.669490454	0.6360970913
610	0.6695254725	0.6360758442
611	0.6695974214	0.6360356917
612	0.6696131317	0.6359853226
613	0.6696746114	0.6359478816
614	0.6697189284	0.6359072446
615	0.6697904692	0.6358828136
616	0.6698596013	0.6358347512
617	0.6699203334	0.6358006412
618	0.6699502992	0.6357687033
619	0.6700084012	0.6357417942
